ips_case_number,ips_owner_name,reporter,ips_created_date,ips_oem,jira_id,ips_jira_id,ips_title
684494,Zhiwei He,NA,2022-02-19 04:26:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI[HUAQIN][KelvinF][NB3850C][ADL-P][AX201][WIN11][WIFI] The flow is interrupted when runing iperf on home environment.
684494,Zhiwei He,NA,2022-02-19 04:26:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI[HUAQIN][KelvinF][NB3850C][ADL-P][AX201][WIN11][WIFI] The flow is interrupted when runing iperf on home environment.
684494,Zhiwei He,NA,2022-02-19 04:26:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI[HUAQIN][KelvinF][NB3850C][ADL-P][AX201][WIN11][WIFI] The flow is interrupted when runing iperf on home environment.
684529,Zhiwei He,NA,2022-02-20 17:33:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,"[Haier][Wingtech][G1][ADL][Ax201][21H2]The PC wake up from S4,  WLAN driver appears with YB"
684529,Zhiwei He,NA,2022-02-20 17:33:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,"[Haier][Wingtech][G1][ADL][Ax201][21H2]The PC wake up from S4,  WLAN driver appears with YB"
684529,Zhiwei He,NA,2022-02-20 17:33:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,"[Haier][Wingtech][G1][ADL][Ax201][21H2]The PC wake up from S4,  WLAN driver appears with YB"
686539,Zhiwei He,NA,2022-02-28 03:33:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][EmmyF][Intel ADL][Intel AX 201][BT][Win11]BSOD 0x7c occurred during running MultiMedia stress.
686539,Zhiwei He,NA,2022-02-28 03:33:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][EmmyF][Intel ADL][Intel AX 201][BT][Win11]BSOD 0x7c occurred during running MultiMedia stress.
686539,Zhiwei He,NA,2022-02-28 03:33:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][EmmyF][Intel ADL][Intel AX 201][BT][Win11]BSOD 0x7c occurred during running MultiMedia stress.
689106,Zhiwei He,NA,2022-03-09 00:16:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI[HUAQIN][MachD][NB2757][TGL][AX201][WIN11][WIFI] System will auto disconnect WIFI and cannot connect it again.
