Issue key,Technology,Model Category,Category Confidence,Root Cause,Root Cause Theme
WIFI-636094,WIFI,Connectivity,0.1108102417177824,DCR-2975 has caused SAR module to receive profileId > 31,Insufficient Root-Cause Detail
WIFI-635251,WIFI,Connectivity,0.13965781943897654,"Bug root cause:
 - There are 2 active macs - BSS client and P2P client.
 - UMAC send 2 protection windows to LMAC - one for each mac.
 - LMAC start the first protection window.
 - Beacon is received, and LMAC remove the first protection window.
 - LMAC send NTF to UMAC that beacon is received.
 - LMAC allow PS.
 - PHY move to PS mode.
 - UMAC update 1 of the protection windows timing, and send it to LMAC.
   Since the current beacon event wasn't not removed yet, the UMAC send
   its window as well.
 - LMAC received hiscorical protection window, and set protection.
 - To configure the chain ant req, LMAC need to access the PHY.
   Since the PHY is in PS mode, we get assert when trying to access the PHY.

Fix:
If phy is not exist, coex status is off.
Check if coex status is not off before starting coex protection.

RC is the same as bug WIFI-527459. Fixed on: https://gerritwcs.ir.intel.com/c/wcd_fw-dev/+/177112",Firmware Config / Parameter / Tuning
WIFI-628009,WIFI,Connectivity,0.6633019442250804,Fix along with https://jira.idoc.intel.com/browse/DCR-3171,Insufficient Root-Cause Detail
WIFI-626295,WIFI,Connectivity,0.10892871034829235,"2 sec delay in entering SX due to synchronization with CSME, which is unnecessary when its policy is not enabled.

",Race / Timing / Interrupt Ordering
WIFI-623947,WIFI,Connectivity,0.99,"It is a dup of WIFI-410816
I could not reject it as dup.",Insufficient Root-Cause Detail
WIFI-618492,WIFI,Performance,0.19260913359590628,nan,Insufficient Root-Cause Detail
WIFI-616461,WIFI,Connectivity,0.15371367667932004,"When an older installer is already installed, the new installer looked for iProData.ini in the old installer original location instead of the currently running installer. If the old installer was removed, the new installer won't find iProData.ini and will fail.",Insufficient Root-Cause Detail
WIFI-607289,WIFI,Connectivity,0.1280319325244746,wrong configuration sets 5 / 7,Firmware Config / Parameter / Tuning
WIFI-594472,WIFI,Connectivity,0.99,Fixing inconsistency of suspend command not being sent for certain tid's,Insufficient Root-Cause Detail
WIFI-582252,WIFI,Connectivity,0.16611847837518529,"Disable DCDC modes for FmP / GaP. Which means we are not allowing transitions between PWM to PFM.
We suspect that those transition interfere the STEP.",RF / Coexistence / Channel Behavior
WIFI-578697,WIFI,Connectivity,0.99,UEFI fix cipher reset behavior after a failed SAE connection,Power State / Reset / PLDR
WIFI-578536,WIFI,Connectivity,0.12681606716468555,"Changed the BA/CTS/ACK ant selection to be 1st based on RSSI and then on the preferred ant that is also controlled by the TLC.
Next fix was due to incorrect energy array index usage, so the energy compare was wrong.",Insufficient Root-Cause Detail
WIFI-576597,WIFI,Connectivity,0.14008241782952532,"Assert was removed, found to be not properly set",Insufficient Root-Cause Detail
WIFI-576414,WIFI,Connectivity,0.13930189770307386,"LQ value should be updated upon receiving a beacon, it is
checked if the beacon is from our associated APs BSSID (which fails, as the
BSSID is different between VAP and actual beacon in air)",RF / Coexistence / Channel Behavior
